RowNumber,CustomerId,source,Rating,Destination,Gender,Age,Frequency,noofpassanger,Class,MealTaken,TotalTransation,Exited
1,15634602,india,619,France,Female,42,2,1,1,1,101348.88,1
2,15647311,australia,608,Spain,Female,41,1,1,0,1,112542.58,0
3,15619304,england,502,France,Female,42,8,3,1,0,113931.57,1
4,15701354,india,699,France,Female,39,1,2,0,0,93826.63,0
5,15737888,australia,850,Spain,Female,43,2,1,1,1,79084.1,0
6,15574012,england,645,Spain,Male,44,8,2,1,0,149756.71,1
7,15592531,india,822,France,Male,50,7,2,1,1,10062.8,0
8,15656148,australia,376,Germany,Female,29,4,4,1,0,119346.88,1
9,15792365,england,501,France,Male,44,4,2,0,1,74940.5,0
10,15592389,india,684,France,Male,27,2,1,1,1,71725.73,0
11,15767821,australia,528,France,Male,31,6,2,0,0,80181.12,0
12,15737173,england,497,Spain,Male,24,3,2,1,0,76390.01,0
13,15632264,india,476,France,Female,34,10,2,1,0,26260.98,0
14,15691483,australia,549,France,Female,25,5,2,0,0,190857.79,0
15,15600882,england,635,Spain,Female,35,7,2,1,1,65951.65,0
16,15643966,india,616,Germany,Male,45,3,2,0,1,64327.26,0
17,15737452,india,653,Germany,Male,58,1,1,1,0,5097.67,1
18,15788218,australia,549,Spain,Female,24,9,2,1,1,14406.41,0
19,15661507,england,587,Spain,Male,45,6,1,0,0,158684.81,0
20,15568982,india,726,France,Female,24,6,2,1,1,54724.03,0
21,15577657,australia,732,France,Male,41,8,2,1,1,170886.17,0
22,15597945,england,636,Spain,Female,32,8,2,1,0,138555.46,0
23,15699309,india,510,Spain,Female,38,4,1,1,0,118913.53,1
24,15725737,australia,669,France,Male,46,3,2,0,1,8487.75,0
25,15625047,england,846,France,Female,38,5,1,1,1,187616.16,0
26,15738191,india,577,France,Male,25,3,2,0,1,124508.29,0
27,15736816,australia,756,Germany,Male,36,2,1,1,1,170041.95,0
28,15700772,england,571,France,Male,44,9,2,0,0,38433.35,0
29,15728693,india,574,Germany,Female,43,3,1,1,1,100187.43,0
30,15656300,australia,411,France,Male,29,0,2,1,1,53483.21,0
31,15589475,england,591,Spain,Female,39,3,3,1,0,140469.38,1
32,15706552,india,533,France,Male,36,7,1,0,1,156731.91,0
33,15750181,india,553,Germany,Male,41,9,2,0,0,81898.81,0
